rep_id,month,segment,trained,quota_attainment,revenue,quota,ramp_days
110,1,Enterprise,1,0.3007,255609.31,850000,154
111,1,Enterprise,1,0.3823,324934.54,850000,138
112,1,Enterprise,1,0.3455,293665.27,850000,147
113,1,Enterprise,1,0.4253,361521.89,850000,112
114,1,Enterprise,1,0.4894,415965.15,850000,67
115,1,Enterprise,1,0.4414,375221.04,850000,116
116,1,Enterprise,1,0.3062,260273.47,850000,140
117,1,Enterprise,1,0.3063,260347.46,850000,180
118,1,Enterprise,1,0.4302,365638.38,850000,137
119,1,Enterprise,1,0.3493,296914.22,850000,129
120,1,Enterprise,1,0.3154,268052.81,850000,144
121,1,Enterprise,1,0.2893,245919.14,850000,138
122,1,Enterprise,1,0.3548,301576.18,850000,157
123,1,Enterprise,1,0.344,292432.29,850000,101
124,1,Enterprise,1,0.379,322160.04,850000,106
125,1,Enterprise,1,0.3566,303129.92,850000,160
126,1,Enterprise,1,0.3126,265709.08,850000,89
127,1,Enterprise,1,0.3227,274318.95,850000,108
128,1,Enterprise,1,0.4011,340971.31,850000,116
129,1,Enterprise,1,0.4078,346662.89,850000,108
130,1,Enterprise,1,0.3325,282636.93,850000,150
131,1,Enterprise,1,0.3853,327503.54,850000,75
132,1,Enterprise,1,0.3196,271677.32,850000,91
133,1,Enterprise,1,0.3543,301172.48,850000,119
134,1,Enterprise,1,0.3994,339476.28,850000,156
135,1,Enterprise,1,0.4316,366859.32,850000,126
136,1,Enterprise,1,0.3435,291939.58,850000,152
137,1,Enterprise,1,0.3426,291236.92,850000,118
138,1,Enterprise,1,0.2943,250118.23,850000,108
139,1,Enterprise,1,0.3497,297219.77,850000,75
140,1,Enterprise,1,0.3555,302163.82,850000,113
141,1,Enterprise,1,0.3375,286875.96,850000,176
142,1,Enterprise,1,0.3261,277197.18,850000,137
143,1,Enterprise,1,0.4117,349937.05,850000,118
144,1,Enterprise,1,0.3671,312019.96,850000,159
145,1,Enterprise,1,0.3655,310671.89,850000,81
146,1,Enterprise,1,0.3858,327923.6,850000,128
147,1,Enterprise,1,0.3595,305571.04,850000,107
148,1,Enterprise,1,0.4187,355855.32,850000,164
149,1,Enterprise,1,0.3208,272696.17,850000,117
150,1,Enterprise,1,0.3702,314685.27,850000,125
151,1,Enterprise,1,0.2536,215547.23,850000,141
152,1,Enterprise,1,0.3323,282486.77,850000,146
153,1,Enterprise,1,0.398,338289.23,850000,60
154,1,Enterprise,1,0.3336,283559.85,850000,157
155,1,Enterprise,1,0.3062,260307.87,850000,118
156,1,Enterprise,1,0.3237,275164.03,850000,123
157,1,Enterprise,1,0.3127,265767.22,850000,112
158,1,Enterprise,1,0.3479,295691.31,850000,132
159,1,Enterprise,1,0.3842,326529.45,850000,159
160,1,Enterprise,1,0.3296,280136.04,850000,176
161,1,Enterprise,1,0.4391,373273.26,850000,122
162,1,Enterprise,1,0.3596,305640.45,850000,153
163,1,Enterprise,1,0.2905,246919.15,850000,66
164,1,Enterprise,1,0.3746,318429.45,850000,111
165,1,Enterprise,1,0.3772,320604.51,850000,72
166,1,Enterprise,1,0.4158,353431.11,850000,136
167,1,Enterprise,1,0.3451,293377.42,850000,173
168,1,Enterprise,1,0.3641,309502.85,850000,77
169,1,Enterprise,1,0.4628,393422.34,850000,91
170,1,Enterprise,1,0.2567,218229.54,850000,131
171,1,Enterprise,1,0.3371,286500.28,850000,134
172,1,Enterprise,1,0.3778,321131.18,850000,95
173,1,Enterprise,1,0.3343,284150.7,850000,135
174,1,Enterprise,1,0.2485,211217.75,850000,179
175,1,Enterprise,1,0.376,319576.73,850000,117
176,1,Enterprise,1,0.352,299237.0,850000,81
177,1,Enterprise,1,0.3443,292641.97,850000,145
178,1,Enterprise,1,0.4239,360357.48,850000,94
179,1,Enterprise,1,0.405,344254.48,850000,60
180,1,Enterprise,1,0.3286,279278.69,850000,118
181,1,Enterprise,1,0.3703,314775.5,850000,137
182,1,Enterprise,1,0.3279,278692.48,850000,163
183,1,Enterprise,1,0.3396,288693.28,850000,131
184,1,Enterprise,1,0.3894,331020.13,850000,127
185,1,Enterprise,1,0.3525,299608.47,850000,69
186,1,Enterprise,1,0.3708,315207.26,850000,180
187,1,Enterprise,1,0.3385,287702.97,850000,153
188,1,Enterprise,1,0.3274,278276.87,850000,144
189,1,Enterprise,1,0.3319,282127.27,850000,125
190,1,Enterprise,1,0.324,275379.27,850000,137
191,1,Enterprise,1,0.3697,314232.33,850000,95
192,1,Enterprise,1,0.3391,288274.21,850000,139
193,1,Enterprise,1,0.4272,363156.01,850000,98
194,1,Enterprise,1,0.3108,264149.0,850000,140
195,1,Enterprise,1,0.3818,324507.31,850000,119
196,1,Enterprise,1,0.4082,347011.94,850000,123
197,1,Enterprise,1,0.4342,369056.59,850000,127
198,1,Enterprise,1,0.3514,298717.69,850000,62
199,1,Enterprise,1,0.4082,346951.59,850000,106
200,1,Enterprise,1,0.3631,308613.31,850000,131
201,1,Enterprise,1,0.4022,341911.87,850000,130
202,1,Enterprise,1,0.3252,276422.01,850000,126
203,1,Enterprise,1,0.355,301737.58,850000,108
204,1,Enterprise,1,0.37,314464.44,850000,64
205,1,Enterprise,1,0.3289,279533.32,850000,150
206,1,Enterprise,1,0.3537,300625.06,850000,139
207,1,Enterprise,1,0.4778,406092.1,850000,101
208,1,Enterprise,1,0.3876,329424.66,850000,119
209,1,Enterprise,1,0.3445,292858.95,850000,107
210,1,Enterprise,1,0.3521,299326.55,850000,95
211,1,Enterprise,1,0.3746,318399.0,850000,155
212,1,Enterprise,1,0.3422,290858.69,850000,144
213,1,Enterprise,1,0.3361,285684.36,850000,184
214,1,Enterprise,1,0.2962,251788.3,850000,164
215,1,Enterprise,1,0.3512,298519.0,850000,132
216,1,Enterprise,1,0.2336,198589.68,850000,149
217,1,Enterprise,1,0.279,237138.55,850000,108
218,1,Enterprise,1,0.3519,299102.94,850000,90
219,1,Enterprise,1,0.3842,326585.96,850000,130
220,1,Enterprise,1,0.4235,360008.8,850000,151
221,1,Enterprise,1,0.37,314529.18,850000,140
222,1,Enterprise,1,0.3888,330496.67,850000,98
223,1,Enterprise,1,0.3544,301263.69,850000,152
224,1,Enterprise,1,0.4004,340318.49,850000,104
225,1,Enterprise,1,0.3836,326030.8,850000,80
226,1,Enterprise,1,0.3717,315977.82,850000,127
227,1,Enterprise,1,0.2941,249998.0,850000,94
228,1,Enterprise,1,0.3652,310440.44,850000,133
229,1,Enterprise,1,0.3457,293839.22,850000,183
230,1,Enterprise,1,0.3612,306992.28,850000,71
231,1,Enterprise,1,0.334,283924.91,850000,149
232,1,Enterprise,1,0.3047,258982.6,850000,94
233,1,Enterprise,1,0.3844,326769.2,850000,110
234,1,Enterprise,1,0.3575,303834.55,850000,168
235,1,Enterprise,1,0.3568,303268.64,850000,131
236,1,Enterprise,1,0.3632,308759.71,850000,135
237,1,Enterprise,1,0.3016,256392.65,850000,112
238,1,Enterprise,1,0.4398,373787.52,850000,113
239,1,Enterprise,1,0.4301,365559.18,850000,64
240,1,Enterprise,1,0.381,323841.05,850000,136
241,1,Enterprise,1,0.4512,383494.63,850000,68
242,1,Enterprise,1,0.3744,318233.03,850000,97
243,1,Enterprise,1,0.354,300904.79,850000,92
244,1,Enterprise,1,0.3863,328393.98,850000,80
245,1,Enterprise,1,0.4415,375295.98,850000,84
246,1,Enterprise,1,0.3071,260997.82,850000,158
247,1,Enterprise,1,0.4187,355936.2,850000,153
248,1,Enterprise,1,0.2921,248320.46,850000,128
249,1,Enterprise,1,0.3789,322035.64,850000,128
250,1,Enterprise,1,0.4054,344618.93,850000,112
251,1,Enterprise,1,0.3772,320619.61,850000,162
252,1,Enterprise,1,0.4068,345800.95,850000,113
253,1,Enterprise,1,0.3437,292174.41,850000,150
254,1,Enterprise,1,0.2888,245509.53,850000,163
255,1,Enterprise,1,0.4134,351421.21,850000,96
256,1,Enterprise,1,0.4443,377683.56,850000,111
257,1,Enterprise,1,0.3432,291699.95,850000,144
258,1,Enterprise,1,0.3868,328742.86,850000,124
259,1,Enterprise,1,0.3185,270713.13,850000,120
260,1,Enterprise,1,0.3131,266147.46,850000,127
261,1,Enterprise,1,0.3671,312062.41,850000,103
262,1,Enterprise,1,0.3183,270565.1,850000,139
263,1,Enterprise,1,0.3621,307798.42,850000,116
264,1,Enterprise,1,0.4984,423605.08,850000,112
265,1,Enterprise,1,0.3221,273808.67,850000,127
266,1,Enterprise,1,0.3643,309612.51,850000,156
267,1,Enterprise,1,0.2678,227648.77,850000,155
268,1,Enterprise,1,0.3841,326445.42,850000,109
269,1,Enterprise,1,0.34,289033.12,850000,82
270,1,Enterprise,1,0.4045,343792.18,850000,60
271,1,Enterprise,1,0.369,313667.81,850000,119
272,1,Enterprise,1,0.3635,308961.29,850000,118
273,1,Enterprise,1,0.305,259212.63,850000,156
274,1,Enterprise,1,0.3649,310155.89,850000,74
275,1,Enterprise,1,0.3679,312738.6,850000,118
276,1,Enterprise,1,0.3544,301254.98,850000,95
277,1,Enterprise,1,0.4252,361457.18,850000,107
278,1,Enterprise,1,0.3557,302372.97,850000,130
279,1,Enterprise,1,0.2973,252741.71,850000,197
280,1,Enterprise,1,0.3854,327611.11,850000,95
281,1,Enterprise,1,0.2593,220420.43,850000,83
282,1,Enterprise,1,0.4325,367646.56,850000,204
283,1,Enterprise,1,0.291,247335.96,850000,86
284,1,Enterprise,1,0.403,342588.16,850000,104
285,1,Enterprise,1,0.3833,325816.13,850000,152
286,1,Enterprise,1,0.2957,251353.04,850000,161
287,1,Enterprise,1,0.385,327277.54,850000,111
288,1,Enterprise,1,0.3201,272057.81,850000,139
289,1,Enterprise,1,0.3472,295160.31,850000,126
290,1,Enterprise,1,0.3762,319801.23,850000,127
291,1,Enterprise,1,0.3578,304094.61,850000,109
292,1,Enterprise,1,0.3111,264419.98,850000,118
293,1,Enterprise,1,0.3661,311202.95,850000,164
294,1,Enterprise,1,0.3397,288714.13,850000,152
295,1,Enterprise,1,0.3535,300516.8,850000,113
296,1,Enterprise,1,0.3462,294243.91,850000,156
297,1,Enterprise,1,0.3219,273620.83,850000,67
298,1,Enterprise,1,0.2942,250081.86,850000,173
299,1,Enterprise,1,0.322,273662.44,850000,153
300,1,Enterprise,1,0.374,317895.91,850000,125
301,1,Enterprise,1,0.3102,263631.97,850000,134
302,1,Enterprise,1,0.4298,365315.46,850000,78
303,1,Enterprise,1,0.3744,318241.38,850000,96
304,1,Enterprise,1,0.3736,317518.62,850000,119
305,1,Enterprise,1,0.3388,288010.83,850000,129
306,1,Enterprise,1,0.2741,233016.61,850000,162
307,1,Enterprise,1,0.3799,322877.05,850000,124
308,1,Enterprise,1,0.3578,304111.85,850000,60
309,1,Enterprise,1,0.2776,235945.95,850000,171
310,1,Enterprise,1,0.3081,261883.3,850000,169
311,1,Enterprise,1,0.3567,303166.13,850000,108
312,1,Enterprise,1,0.2455,208638.62,850000,126
313,1,Enterprise,1,0.3413,290129.11,850000,119
314,1,Enterprise,1,0.3944,335257.54,850000,159
315,1,Enterprise,1,0.3574,303794.45,850000,122
316,1,Enterprise,1,0.4065,345552.99,850000,141
317,1,Enterprise,1,0.3414,290221.09,850000,109
318,1,Enterprise,1,0.4071,346067.27,850000,129
319,1,Enterprise,1,0.2919,248104.43,850000,131
320,1,Enterprise,1,0.3853,327491.34,850000,116
321,1,Enterprise,1,0.3441,292466.58,850000,153
322,1,Enterprise,1,0.4223,358959.76,850000,109
323,1,Enterprise,1,0.344,292416.99,850000,101
324,1,Enterprise,1,0.3062,260252.52,850000,127
325,1,Enterprise,1,0.3709,315233.52,850000,162
326,1,Enterprise,1,0.4245,360808.21,850000,155
327,1,Enterprise,1,0.3629,308434.64,850000,138
328,1,Enterprise,1,0.3517,298916.46,850000,131
329,1,Enterprise,1,0.2966,252070.11,850000,136
330,1,Enterprise,1,0.4035,343008.38,850000,109
331,1,Enterprise,1,0.3484,296119.67,850000,144
332,1,Enterprise,1,0.3822,324878.7,850000,148
333,1,Enterprise,1,0.3585,304716.2,850000,151
334,1,Enterprise,1,0.4758,404464.34,850000,69
335,1,Enterprise,1,0.3213,273103.84,850000,166
336,1,Enterprise,1,0.3555,302210.52,850000,72
337,1,Enterprise,1,0.4376,371974.75,850000,60
338,1,Enterprise,1,0.3981,338386.67,850000,146
339,1,Enterprise,1,0.3998,339790.66,850000,145
340,1,Enterprise,1,0.354,300913.19,850000,127
341,1,Enterprise,1,0.3688,313522.1,850000,111
342,1,Enterprise,1,0.2851,242345.72,850000,165
343,1,Enterprise,1,0.3677,312525.42,850000,78
344,1,Enterprise,1,0.3892,330825.37,850000,76
345,1,Enterprise,1,0.3627,308320.88,850000,148
346,1,Enterprise,1,0.3238,275213.96,850000,113
347,1,Enterprise,1,0.3062,260287.06,850000,119
348,1,Enterprise,1,0.411,349369.48,850000,101
349,1,Enterprise,1,0.3922,333352.89,850000,141
350,1,Enterprise,1,0.3612,307015.83,850000,83
351,1,Enterprise,1,0.4032,342679.27,850000,123
352,1,Enterprise,1,0.3978,338142.26,850000,127
353,1,Enterprise,1,0.2953,250989.6,850000,82
354,1,Enterprise,1,0.3496,297129.19,850000,128
355,1,Enterprise,1,0.4134,351357.86,850000,139
356,1,Enterprise,1,0.2784,236656.86,850000,140
357,1,Enterprise,1,0.2842,241585.65,850000,143
358,1,Enterprise,1,0.3722,316339.85,850000,194
359,1,Enterprise,1,0.4121,350297.34,850000,135
360,1,Enterprise,1,0.3451,293355.5,850000,115
361,1,Enterprise,1,0.3249,276169.02,850000,169
362,1,Enterprise,1,0.2674,227259.07,850000,176
363,1,Enterprise,1,0.3376,286994.2,850000,141
364,1,Enterprise,1,0.2808,238703.96,850000,156
365,1,Enterprise,1,0.3333,283293.36,850000,150
366,1,Enterprise,1,0.4241,360496.82,850000,99
367,1,Enterprise,1,0.3315,281737.14,850000,60
368,1,Enterprise,1,0.3514,298677.15,850000,101
369,1,Enterprise,1,0.3902,331633.78,850000,145
370,1,Enterprise,1,0.3097,263230.61,850000,177
371,1,Enterprise,1,0.3791,322231.98,850000,108
372,1,Enterprise,1,0.3962,336798.25,850000,112
373,1,Enterprise,1,0.3525,299616.91,850000,154
374,1,Enterprise,1,0.3512,298515.48,850000,168
375,1,Enterprise,1,0.3057,259852.74,850000,121
376,1,Enterprise,1,0.3355,285158.07,850000,130
377,1,Enterprise,1,0.3597,305727.82,850000,137
378,1,Enterprise,1,0.2647,225034.82,850000,137
379,1,Enterprise,1,0.2503,212728.23,850000,131
380,1,Enterprise,1,0.3476,295418.76,850000,127
381,1,Enterprise,1,0.3754,319111.66,850000,115
382,1,Enterprise,1,0.3647,310032.96,850000,107
383,1,Enterprise,1,0.2924,248562.24,850000,92
384,1,Enterprise,1,0.4091,347717.03,850000,114
385,1,Enterprise,1,0.3549,301687.24,850000,147
386,1,Enterprise,1,0.3937,334654.14,850000,153
387,1,Enterprise,1,0.3231,274603.73,850000,136
388,1,Enterprise,1,0.3715,315764.49,850000,111
389,1,Enterprise,1,0.3836,326038.08,850000,110
390,1,Enterprise,1,0.3966,337079.56,850000,146
391,1,Enterprise,1,0.4098,348341.42,850000,91
392,1,Enterprise,1,0.3194,271501.05,850000,121
393,1,Enterprise,1,0.348,295832.11,850000,132
394,1,Enterprise,1,0.3356,285233.38,850000,110
395,1,Enterprise,1,0.3845,326843.85,850000,74
396,1,Enterprise,1,0.2935,249482.13,850000,110
397,1,Enterprise,1,0.2812,239026.98,850000,128
398,1,Enterprise,1,0.4665,396550.14,850000,119
399,1,Enterprise,1,0.4417,375438.67,850000,135
400,1,Enterprise,1,0.4056,344787.18,850000,138
401,1,Enterprise,1,0.3861,328178.5,850000,99
402,1,Enterprise,1,0.3883,330087.37,850000,135
403,1,Enterprise,1,0.382,324705.98,850000,171
404,1,Enterprise,1,0.4228,359344.73,850000,168
405,1,Enterprise,1,0.3464,294431.42,850000,88
406,1,Enterprise,1,0.3134,266349.02,850000,158
407,1,Enterprise,1,0.3552,301950.21,850000,122
408,1,Enterprise,1,0.3939,334823.68,850000,93
409,1,Enterprise,1,0.3383,287512.69,850000,148
410,1,Enterprise,1,0.3268,277777.95,850000,137
411,1,Enterprise,1,0.4238,360232.13,850000,116
412,1,Enterprise,1,0.3161,268678.69,850000,127
413,1,Enterprise,1,0.4222,358833.13,850000,127
414,1,Enterprise,1,0.4061,345196.49,850000,104
415,1,Enterprise,1,0.4416,375319.91,850000,131
416,1,Enterprise,1,0.4655,395715.65,850000,96
417,1,Enterprise,1,0.3706,315038.71,850000,131
418,1,Enterprise,1,0.4452,378428.47,850000,150
419,1,Enterprise,1,0.3755,319140.81,850000,137
420,1,Enterprise,1,0.3688,313459.02,850000,145
421,1,Enterprise,1,0.3597,305715.13,850000,144
422,1,Enterprise,1,0.3249,276155.75,850000,181
423,1,Enterprise,1,0.3809,323744.22,850000,173
424,1,Enterprise,1,0.4116,349830.54,850000,113
425,1,Enterprise,1,0.3082,261938.57,850000,82
426,1,Enterprise,1,0.4665,396493.08,850000,155
427,1,Enterprise,1,0.4344,369209.21,850000,110
428,1,Enterprise,1,0.3289,279546.09,850000,123
429,1,Enterprise,1,0.3805,323396.28,850000,127
430,1,Enterprise,1,0.3521,299290.7,850000,129
431,1,Enterprise,1,0.3724,316536.1,850000,118
432,1,Enterprise,1,0.3682,312929.3,850000,79
433,1,Enterprise,1,0.4028,342360.94,850000,73
434,1,Enterprise,1,0.3142,267087.63,850000,100
435,1,Enterprise,1,0.4541,385991.0,850000,132
436,1,Enterprise,1,0.303,257564.3,850000,155
437,1,Enterprise,1,0.3992,339285.69,850000,80
438,1,Enterprise,1,0.3288,279449.6,850000,109
439,1,Enterprise,1,0.3396,288662.76,850000,167
440,1,Enterprise,1,0.3685,313192.59,850000,164
441,1,Enterprise,1,0.3506,297983.28,850000,172
442,1,Enterprise,1,0.3537,300615.74,850000,161
443,1,Enterprise,1,0.339,288154.26,850000,122
444,1,Enterprise,1,0.3296,280175.54,850000,105
445,1,Enterprise,1,0.3787,321899.38,850000,158
446,1,Enterprise,1,0.3365,285998.8,850000,77
447,1,Enterprise,1,0.325,276228.42,850000,126
448,1,Enterprise,1,0.3263,277368.38,850000,123
449,1,Enterprise,1,0.3368,286241.34,850000,138
450,1,Enterprise,1,0.2921,248244.85,850000,117
451,1,Enterprise,1,0.2984,253610.57,850000,101
452,1,Enterprise,1,0.3772,320619.85,850000,137
453,1,Enterprise,1,0.3869,328893.14,850000,105
454,1,Enterprise,1,0.3828,325387.06,850000,89
455,1,Enterprise,1,0.4111,349463.66,850000,160
456,1,Enterprise,1,0.3151,267815.02,850000,123
457,1,Enterprise,1,0.2799,237944.21,850000,111
458,1,Enterprise,1,0.3907,332114.17,850000,127
459,1,Enterprise,1,0.2871,244062.97,850000,91
460,1,Enterprise,1,0.3447,292956.11,850000,143
461,1,Enterprise,1,0.3622,307882.38,850000,151
462,1,Enterprise,1,0.4475,380343.6,850000,135
463,1,Enterprise,1,0.3232,274739.21,850000,157
464,1,Enterprise,1,0.3434,291859.38,850000,96
465,1,Enterprise,1,0.3918,333062.09,850000,105
466,1,Enterprise,1,0.3795,322554.71,850000,139
467,1,Enterprise,1,0.3393,288425.12,850000,125
468,1,Enterprise,1,0.3533,300274.65,850000,182
469,1,Enterprise,1,0.3197,271745.31,850000,131
470,1,Enterprise,1,0.3776,320986.7,850000,118
471,1,Enterprise,1,0.2729,231966.33,850000,171
472,1,Enterprise,1,0.5003,425234.31,850000,93
473,1,Enterprise,1,0.3821,324744.31,850000,154
474,1,Enterprise,1,0.3064,260449.3,850000,118
475,1,Enterprise,1,0.3356,285218.26,850000,160
476,1,Enterprise,1,0.3021,256790.33,850000,145
477,1,Enterprise,1,0.3203,272290.75,850000,115
478,1,Enterprise,1,0.3599,305914.89,850000,147
479,1,Enterprise,1,0.4331,368099.87,850000,88
480,1,Enterprise,1,0.3435,292016.36,850000,158
481,1,Enterprise,1,0.2572,218601.65,850000,187
482,1,Enterprise,1,0.3201,272110.5,850000,157
483,1,Enterprise,1,0.321,272847.35,850000,171
484,1,Enterprise,1,0.353,300027.63,850000,154
485,1,Enterprise,1,0.3673,312174.57,850000,80
486,1,Enterprise,1,0.2527,214765.87,850000,130
487,1,Enterprise,1,0.3072,261152.23,850000,149
488,1,Enterprise,1,0.2981,253397.17,850000,153
489,1,Enterprise,1,0.4083,347039.52,850000,92
490,1,Enterprise,1,0.3335,283502.4,850000,168
491,1,Enterprise,1,0.2605,221429.31,850000,136
492,1,Enterprise,1,0.3261,277181.71,850000,94
493,1,Enterprise,1,0.4335,368505.35,850000,72
494,1,Enterprise,1,0.3247,275960.29,850000,137
495,1,Enterprise,1,0.333,283044.78,850000,98
496,1,Enterprise,1,0.349,296612.8,850000,119
497,1,Enterprise,1,0.3704,314805.54,850000,109
498,1,Enterprise,1,0.3463,294380.79,850000,134
499,1,Enterprise,1,0.3942,335032.45,850000,165
500,1,Enterprise,1,0.3491,296731.87,850000,123
501,1,Enterprise,1,0.3791,322195.83,850000,159
502,1,Enterprise,1,0.3615,307265.48,850000,136
503,1,Enterprise,1,0.2992,254285.25,850000,113
504,1,Enterprise,1,0.4477,380547.37,850000,95
505,1,Enterprise,1,0.4162,353728.78,850000,101
506,1,Enterprise,1,0.3391,288195.2,850000,96
507,1,Enterprise,1,0.346,294136.69,850000,142
508,1,Enterprise,1,0.3789,322023.0,850000,145
509,1,Enterprise,1,0.3592,305347.45,850000,143
510,1,Enterprise,1,0.3571,303572.1,850000,137
511,1,Enterprise,1,0.3843,326667.09,850000,106
512,1,Enterprise,1,0.377,320408.33,850000,107
513,1,Enterprise,1,0.3751,318840.04,850000,113
514,1,Enterprise,1,0.3653,310470.07,850000,106
515,1,Enterprise,1,0.3784,321680.98,850000,153
516,1,Enterprise,1,0.3582,304456.43,850000,156
517,1,Enterprise,1,0.3622,307838.59,850000,141
