rep_id,segment,trained,training_date,program_1,program_2,quota_usd,ramp_days
147,Enterprise,1,2025-12-06,Tools Training,Tools Training,850000,107
148,Enterprise,1,2025-10-30,Tools Training,Tools Training,850000,164
149,Enterprise,1,2025-10-10,Soft Skills,Product Knowledge,850000,117
150,Enterprise,1,2026-03-03,Soft Skills,Soft Skills,850000,125
151,Enterprise,1,2025-06-17,Tools Training,Sales Skills,850000,141
152,Enterprise,1,2025-10-22,Sales Skills,Tools Training,850000,146
153,Enterprise,1,2025-06-22,Product Knowledge,Soft Skills,850000,60
154,Enterprise,1,2025-11-08,Soft Skills,Sales Skills,850000,157
155,Enterprise,1,2025-06-17,Sales Skills,Tools Training,850000,118
156,Enterprise,1,2025-08-21,Sales Skills,Soft Skills,850000,123
157,Enterprise,1,2025-09-15,Tools Training,Sales Skills,850000,112
158,Enterprise,1,2025-06-29,Product Knowledge,Tools Training,850000,132
159,Enterprise,1,2026-04-29,Soft Skills,Tools Training,850000,159
160,Enterprise,1,2026-04-18,Product Knowledge,Soft Skills,850000,176
161,Enterprise,1,2025-08-01,Soft Skills,Sales Skills,850000,122
162,Enterprise,1,2026-04-22,Product Knowledge,Soft Skills,850000,153
163,Enterprise,1,2025-11-17,Product Knowledge,Soft Skills,850000,66
164,Enterprise,1,2025-09-22,Sales Skills,Sales Skills,850000,111
165,Enterprise,1,2025-09-14,Soft Skills,Sales Skills,850000,72
166,Enterprise,1,2025-09-22,Soft Skills,Sales Skills,850000,136
167,Enterprise,1,2026-03-15,Sales Skills,Product Knowledge,850000,173
168,Enterprise,1,2026-04-20,Soft Skills,Product Knowledge,850000,77
169,Enterprise,1,2025-08-31,Soft Skills,Sales Skills,850000,91
170,Enterprise,1,2026-02-24,Product Knowledge,Soft Skills,850000,131
171,Enterprise,1,2025-09-03,Tools Training,Sales Skills,850000,134
172,Enterprise,1,2025-06-19,Tools Training,Sales Skills,850000,95
173,Enterprise,1,2026-01-22,Sales Skills,Product Knowledge,850000,135
174,Enterprise,1,2025-08-14,Sales Skills,Tools Training,850000,179
175,Enterprise,1,2026-03-08,Product Knowledge,Sales Skills,850000,117
176,Enterprise,1,2026-03-10,Sales Skills,Sales Skills,850000,81
177,Enterprise,1,2025-08-13,Soft Skills,Product Knowledge,850000,145
178,Enterprise,1,2026-01-25,Soft Skills,Tools Training,850000,94
179,Enterprise,1,2025-11-27,Tools Training,Tools Training,850000,60
180,Enterprise,1,2025-06-28,Soft Skills,Sales Skills,850000,118
181,Enterprise,1,2026-03-07,Tools Training,Tools Training,850000,137
182,Enterprise,1,2025-10-05,Sales Skills,Sales Skills,850000,163
183,Enterprise,1,2026-02-23,Product Knowledge,Product Knowledge,850000,131
184,Enterprise,1,2025-07-18,Tools Training,Tools Training,850000,127
185,Enterprise,1,2025-06-26,Tools Training,Soft Skills,850000,69
186,Enterprise,1,2026-03-31,Tools Training,Product Knowledge,850000,180
187,Enterprise,1,2026-03-10,Product Knowledge,Soft Skills,850000,153
188,Enterprise,1,2025-06-04,Sales Skills,Soft Skills,850000,144
189,Enterprise,1,2026-02-20,Sales Skills,Product Knowledge,850000,125
190,Enterprise,1,2025-09-07,Tools Training,Soft Skills,850000,137
191,Enterprise,1,2026-01-09,Soft Skills,Sales Skills,850000,95
192,Enterprise,1,2025-10-17,Soft Skills,Tools Training,850000,139
193,Enterprise,1,2025-11-26,Product Knowledge,Tools Training,850000,98
194,Enterprise,1,2025-07-27,Sales Skills,Product Knowledge,850000,140
195,Enterprise,1,2026-01-28,Product Knowledge,Sales Skills,850000,119
196,Enterprise,1,2025-12-18,Sales Skills,Soft Skills,850000,123
197,Enterprise,1,2026-03-15,Sales Skills,Tools Training,850000,127
198,Enterprise,1,2026-02-16,Product Knowledge,Sales Skills,850000,62
199,Enterprise,1,2026-03-14,Product Knowledge,Tools Training,850000,106
200,Enterprise,1,2025-06-15,Soft Skills,Sales Skills,850000,131
201,Enterprise,1,2026-04-04,Tools Training,Tools Training,850000,130
202,Enterprise,1,2026-03-05,Product Knowledge,Product Knowledge,850000,126
203,Enterprise,1,2026-04-02,Sales Skills,Product Knowledge,850000,108
204,Enterprise,1,2026-04-16,Tools Training,Soft Skills,850000,64
205,Enterprise,1,2026-04-23,Tools Training,Tools Training,850000,150
206,Enterprise,1,2025-07-30,Product Knowledge,Product Knowledge,850000,139
207,Enterprise,1,2025-09-15,Tools Training,Sales Skills,850000,101
208,Enterprise,1,2026-04-02,Product Knowledge,Tools Training,850000,119
209,Enterprise,1,2025-07-31,Soft Skills,Sales Skills,850000,107
210,Enterprise,1,2025-12-06,Sales Skills,Soft Skills,850000,95
211,Enterprise,1,2026-04-05,Sales Skills,Product Knowledge,850000,155
212,Enterprise,1,2026-01-09,Soft Skills,Tools Training,850000,144
213,Enterprise,1,2026-03-27,Soft Skills,Tools Training,850000,184
214,Enterprise,1,2026-03-19,Sales Skills,Sales Skills,850000,164
215,Enterprise,1,2026-04-24,Tools Training,Soft Skills,850000,132
216,Enterprise,1,2025-06-19,Sales Skills,Product Knowledge,850000,149
217,Enterprise,1,2025-09-13,Soft Skills,Soft Skills,850000,108
218,Enterprise,1,2025-06-03,Product Knowledge,Product Knowledge,850000,90
219,Enterprise,1,2026-01-25,Tools Training,Soft Skills,850000,130
220,Enterprise,1,2025-05-30,Product Knowledge,Product Knowledge,850000,151
221,Enterprise,1,2026-01-26,Sales Skills,Product Knowledge,850000,140
222,Enterprise,1,2025-05-30,Tools Training,Soft Skills,850000,98
223,Enterprise,1,2026-04-04,Product Knowledge,Product Knowledge,850000,152
224,Enterprise,1,2026-01-02,Soft Skills,Tools Training,850000,104
225,Enterprise,1,2025-09-30,Tools Training,Sales Skills,850000,80
226,Enterprise,1,2026-01-30,Product Knowledge,Soft Skills,850000,127
227,Enterprise,1,2026-03-23,Soft Skills,Sales Skills,850000,94
228,Enterprise,1,2025-08-14,Sales Skills,Product Knowledge,850000,133
229,Enterprise,1,2025-11-03,Product Knowledge,Soft Skills,850000,183
230,Enterprise,1,2026-04-17,Soft Skills,Product Knowledge,850000,71
231,Enterprise,1,2026-02-05,Sales Skills,Sales Skills,850000,149
232,Enterprise,1,2026-03-23,Tools Training,Tools Training,850000,94
233,Enterprise,1,2026-01-26,Sales Skills,Soft Skills,850000,110
234,Enterprise,1,2025-12-14,Product Knowledge,Soft Skills,850000,168
235,Enterprise,1,2026-03-26,Soft Skills,Soft Skills,850000,131
236,Enterprise,1,2025-06-06,Tools Training,Sales Skills,850000,135
237,Enterprise,1,2025-09-13,Sales Skills,Sales Skills,850000,112
238,Enterprise,1,2026-04-25,Tools Training,Tools Training,850000,113
239,Enterprise,1,2026-02-11,Sales Skills,Product Knowledge,850000,64
240,Enterprise,1,2026-01-31,Product Knowledge,Soft Skills,850000,136
241,Enterprise,1,2025-06-06,Tools Training,Sales Skills,850000,68
242,Enterprise,1,2026-04-07,Tools Training,Tools Training,850000,97
243,Enterprise,1,2025-11-28,Product Knowledge,Product Knowledge,850000,92
244,Enterprise,1,2025-06-25,Soft Skills,Soft Skills,850000,80
245,Enterprise,1,2026-03-22,Soft Skills,Soft Skills,850000,84
246,Enterprise,1,2026-04-15,Tools Training,Sales Skills,850000,158
247,Enterprise,1,2025-07-15,Soft Skills,Sales Skills,850000,153
248,Enterprise,1,2026-03-23,Sales Skills,Sales Skills,850000,128
249,Enterprise,1,2025-07-15,Product Knowledge,Sales Skills,850000,128
250,Enterprise,1,2025-12-28,Product Knowledge,Sales Skills,850000,112
251,Enterprise,1,2026-01-02,Sales Skills,Sales Skills,850000,162
252,Enterprise,1,2026-03-14,Soft Skills,Soft Skills,850000,113
253,Enterprise,1,2025-11-08,Tools Training,Soft Skills,850000,150
254,Enterprise,1,2025-07-12,Product Knowledge,Tools Training,850000,163
255,Enterprise,1,2025-07-21,Product Knowledge,Soft Skills,850000,96
256,Enterprise,1,2026-03-23,Product Knowledge,Soft Skills,850000,111
257,Enterprise,1,2026-04-07,Soft Skills,Product Knowledge,850000,144
258,Enterprise,1,2025-12-10,Soft Skills,Product Knowledge,850000,124
259,Enterprise,1,2025-10-02,Soft Skills,Tools Training,850000,120
260,Enterprise,1,2025-06-10,Sales Skills,Soft Skills,850000,127
261,Enterprise,1,2025-07-11,Soft Skills,Tools Training,850000,103
262,Enterprise,1,2026-03-10,Sales Skills,Product Knowledge,850000,139
263,Enterprise,1,2025-07-08,Product Knowledge,Product Knowledge,850000,116
264,Enterprise,1,2025-10-30,Tools Training,Sales Skills,850000,112
265,Enterprise,1,2026-04-29,Soft Skills,Tools Training,850000,127
266,Enterprise,1,2025-12-02,Tools Training,Sales Skills,850000,156
267,Enterprise,1,2025-06-25,Sales Skills,Product Knowledge,850000,155
268,Enterprise,1,2025-07-13,Tools Training,Soft Skills,850000,109
269,Enterprise,1,2026-04-05,Tools Training,Sales Skills,850000,82
270,Enterprise,1,2025-12-23,Tools Training,Tools Training,850000,60
271,Enterprise,1,2025-08-22,Tools Training,Soft Skills,850000,119
272,Enterprise,1,2025-10-14,Sales Skills,Soft Skills,850000,118
273,Enterprise,1,2025-11-20,Product Knowledge,Product Knowledge,850000,156
274,Enterprise,1,2025-11-25,Product Knowledge,Sales Skills,850000,74
275,Enterprise,1,2026-03-12,Soft Skills,Tools Training,850000,118
276,Enterprise,1,2025-10-23,Soft Skills,Sales Skills,850000,95
277,Enterprise,1,2025-06-07,Tools Training,Tools Training,850000,107
278,Enterprise,1,2025-10-01,Product Knowledge,Soft Skills,850000,130
279,Enterprise,1,2025-11-23,Product Knowledge,Sales Skills,850000,197
280,Enterprise,1,2026-02-11,Tools Training,Tools Training,850000,95
281,Enterprise,1,2025-10-18,Product Knowledge,Product Knowledge,850000,83
282,Enterprise,1,2025-06-15,Soft Skills,Sales Skills,850000,204
283,Enterprise,1,2025-08-09,Product Knowledge,Product Knowledge,850000,86
284,Enterprise,1,2026-02-02,Tools Training,Soft Skills,850000,104
285,Enterprise,1,2025-07-16,Sales Skills,Sales Skills,850000,152
286,Enterprise,1,2025-08-26,Tools Training,Soft Skills,850000,161
287,Enterprise,1,2025-08-18,Sales Skills,Soft Skills,850000,111
288,Enterprise,1,2025-08-09,Product Knowledge,Tools Training,850000,139
289,Enterprise,1,2026-01-24,Product Knowledge,Tools Training,850000,126
290,Enterprise,1,2025-11-16,Product Knowledge,Sales Skills,850000,127
291,Enterprise,1,2025-09-19,Product Knowledge,Tools Training,850000,109
292,Enterprise,1,2025-11-20,Tools Training,Sales Skills,850000,118
293,Enterprise,1,2025-12-04,Sales Skills,Tools Training,850000,164
294,Enterprise,1,2025-10-15,Soft Skills,Tools Training,850000,152
295,Enterprise,1,2025-09-08,Tools Training,Soft Skills,850000,113
296,Enterprise,1,2026-04-10,Sales Skills,Sales Skills,850000,156
297,Enterprise,1,2025-08-17,Soft Skills,Tools Training,850000,67
298,Enterprise,1,2025-07-24,Sales Skills,Product Knowledge,850000,173
299,Enterprise,1,2025-11-23,Soft Skills,Soft Skills,850000,153
300,Enterprise,1,2025-10-03,Product Knowledge,Tools Training,850000,125
301,Enterprise,1,2025-10-03,Sales Skills,Sales Skills,850000,134
302,Enterprise,1,2025-10-11,Product Knowledge,Product Knowledge,850000,78
303,Enterprise,1,2025-09-07,Sales Skills,Sales Skills,850000,96
304,Enterprise,1,2026-01-22,Tools Training,Sales Skills,850000,119
305,Enterprise,1,2026-02-14,Product Knowledge,Soft Skills,850000,129
306,Enterprise,1,2026-03-20,Product Knowledge,Product Knowledge,850000,162
307,Enterprise,1,2026-04-13,Soft Skills,Tools Training,850000,124
308,Enterprise,1,2026-01-03,Product Knowledge,Product Knowledge,850000,60
309,Enterprise,1,2026-04-03,Sales Skills,Sales Skills,850000,171
310,Enterprise,1,2025-11-08,Sales Skills,Product Knowledge,850000,169
311,Enterprise,1,2025-10-22,Soft Skills,Product Knowledge,850000,108
312,Enterprise,1,2025-10-19,Tools Training,Sales Skills,850000,126
313,Enterprise,1,2025-07-12,Soft Skills,Sales Skills,850000,119
314,Enterprise,1,2025-10-25,Tools Training,Soft Skills,850000,159
315,Enterprise,1,2025-09-15,Soft Skills,Product Knowledge,850000,122
316,Enterprise,1,2026-02-20,Soft Skills,Sales Skills,850000,141
317,Enterprise,1,2025-08-23,Product Knowledge,Tools Training,850000,109
318,Enterprise,1,2025-10-11,Product Knowledge,Product Knowledge,850000,129
319,Enterprise,1,2026-02-16,Sales Skills,Sales Skills,850000,131
320,Enterprise,1,2026-01-16,Product Knowledge,Sales Skills,850000,116
321,Enterprise,1,2026-03-22,Sales Skills,Sales Skills,850000,153
322,Enterprise,1,2026-04-13,Product Knowledge,Sales Skills,850000,109
323,Enterprise,1,2025-06-23,Soft Skills,Soft Skills,850000,101
324,Enterprise,1,2025-08-09,Tools Training,Sales Skills,850000,127
325,Enterprise,1,2026-02-08,Product Knowledge,Soft Skills,850000,162
326,Enterprise,1,2026-04-05,Product Knowledge,Sales Skills,850000,155
327,Enterprise,1,2025-08-05,Tools Training,Product Knowledge,850000,138
328,Enterprise,1,2026-02-03,Product Knowledge,Tools Training,850000,131
329,Enterprise,1,2025-08-03,Tools Training,Soft Skills,850000,136
330,Enterprise,1,2025-06-06,Product Knowledge,Tools Training,850000,109
331,Enterprise,1,2025-09-27,Soft Skills,Tools Training,850000,144
332,Enterprise,1,2026-01-17,Sales Skills,Product Knowledge,850000,148
333,Enterprise,1,2025-11-22,Sales Skills,Product Knowledge,850000,151
334,Enterprise,1,2025-12-20,Sales Skills,Tools Training,850000,69
335,Enterprise,1,2025-10-29,Soft Skills,Sales Skills,850000,166
336,Enterprise,1,2026-04-26,Sales Skills,Product Knowledge,850000,72
337,Enterprise,1,2025-10-02,Soft Skills,Product Knowledge,850000,60
338,Enterprise,1,2025-06-23,Tools Training,Product Knowledge,850000,146
339,Enterprise,1,2026-03-27,Tools Training,Tools Training,850000,145
340,Enterprise,1,2026-03-22,Product Knowledge,Soft Skills,850000,127
341,Enterprise,1,2026-04-01,Sales Skills,Soft Skills,850000,111
342,Enterprise,1,2025-10-27,Soft Skills,Soft Skills,850000,165
343,Enterprise,1,2025-09-06,Sales Skills,Sales Skills,850000,78
344,Enterprise,1,2025-11-04,Tools Training,Sales Skills,850000,76
345,Enterprise,1,2025-12-09,Product Knowledge,Product Knowledge,850000,148
346,Enterprise,1,2025-07-11,Sales Skills,Soft Skills,850000,113
347,Enterprise,1,2025-10-19,Soft Skills,Soft Skills,850000,119
348,Enterprise,1,2025-10-25,Product Knowledge,Sales Skills,850000,101
349,Enterprise,1,2026-02-28,Tools Training,Soft Skills,850000,141
350,Enterprise,1,2025-06-15,Product Knowledge,Soft Skills,850000,83
351,Enterprise,1,2026-04-19,Soft Skills,Soft Skills,850000,123
352,Enterprise,1,2026-02-26,Product Knowledge,Sales Skills,850000,127
353,Enterprise,1,2025-08-30,Product Knowledge,Sales Skills,850000,82
354,Enterprise,1,2025-09-24,Sales Skills,Sales Skills,850000,128
355,Enterprise,1,2025-08-14,Product Knowledge,Tools Training,850000,139
356,Enterprise,1,2025-09-27,Sales Skills,Sales Skills,850000,140
357,Enterprise,1,2026-01-21,Tools Training,Product Knowledge,850000,143
358,Enterprise,1,2025-11-03,Product Knowledge,Product Knowledge,850000,194
359,Enterprise,1,2025-12-06,Product Knowledge,Sales Skills,850000,135
360,Enterprise,1,2025-12-31,Sales Skills,Tools Training,850000,115
361,Enterprise,1,2026-01-31,Product Knowledge,Tools Training,850000,169
362,Enterprise,1,2026-01-15,Soft Skills,Tools Training,850000,176
363,Enterprise,1,2025-12-28,Sales Skills,Tools Training,850000,141
364,Enterprise,1,2025-09-16,Soft Skills,Soft Skills,850000,156
365,Enterprise,1,2026-03-23,Product Knowledge,Product Knowledge,850000,150
366,Enterprise,1,2026-03-24,Soft Skills,Soft Skills,850000,99
367,Enterprise,1,2025-07-20,Sales Skills,Tools Training,850000,60
368,Enterprise,1,2025-10-26,Tools Training,Soft Skills,850000,101
369,Enterprise,1,2026-03-21,Sales Skills,Sales Skills,850000,145
370,Enterprise,1,2025-08-11,Soft Skills,Tools Training,850000,177
371,Enterprise,1,2025-11-13,Soft Skills,Sales Skills,850000,108
372,Enterprise,1,2025-08-04,Tools Training,Sales Skills,850000,112
373,Enterprise,1,2025-10-31,Product Knowledge,Soft Skills,850000,154
374,Enterprise,1,2026-04-23,Sales Skills,Tools Training,850000,168
375,Enterprise,1,2026-03-16,Tools Training,Sales Skills,850000,121
376,Enterprise,1,2025-11-23,Tools Training,Tools Training,850000,130
377,Enterprise,1,2026-02-07,Sales Skills,Soft Skills,850000,137
378,Enterprise,1,2025-07-09,Product Knowledge,Soft Skills,850000,137
379,Enterprise,1,2026-04-17,Sales Skills,Soft Skills,850000,131
380,Enterprise,1,2025-09-19,Product Knowledge,Soft Skills,850000,127
381,Enterprise,1,2025-11-18,Tools Training,Product Knowledge,850000,115
382,Enterprise,1,2025-09-09,Soft Skills,Product Knowledge,850000,107
383,Enterprise,1,2025-06-15,Sales Skills,Sales Skills,850000,92
384,Enterprise,1,2025-07-26,Soft Skills,Soft Skills,850000,114
385,Enterprise,1,2025-08-31,Product Knowledge,Sales Skills,850000,147
386,Enterprise,1,2026-04-08,Product Knowledge,Soft Skills,850000,153
